lag_px,lag_m,raw_t15,residual_t15,raw_t37,residual_t37,raw_t88,residual_t88,raw_t139,residual_t139
1,40,0.8975,0.7252,0.9154,0.7373,0.9088,0.723,0.8815,0.7263
2,80,0.7429,0.5415,0.7683,0.5519,0.7503,0.5288,0.7126,0.5218
3,120,0.6018,0.4038,0.6331,0.4119,0.6048,0.3836,0.5662,0.3696
4,160,0.493,0.3062,0.5294,0.3145,0.4956,0.2852,0.4593,0.2674
5,200,0.4153,0.2392,0.4587,0.2525,0.4264,0.2272,0.3945,0.2098
6,240,0.3639,0.1966,0.4127,0.2156,0.3829,0.1932,0.3519,0.1748
7,280,0.3297,0.1708,0.3794,0.1911,0.3518,0.171,0.3207,0.151
8,320,0.3038,0.152,0.3531,0.1728,0.3274,0.1541,0.2968,0.1334
9,360,0.2832,0.1384,0.3313,0.1588,0.3077,0.1421,0.2775,0.121
10,400,0.2662,0.128,0.3126,0.1476,0.2914,0.1336,0.2612,0.111
11,440,0.252,0.1196,0.2964,0.1385,0.2774,0.1269,0.2473,0.1033
12,480,0.24,0.1128,0.282,0.1305,0.2649,0.1207,0.2346,0.0961
13,520,0.2297,0.1075,0.2687,0.1228,0.2533,0.1151,0.2233,0.0906
14,560,0.22,0.1026,0.2565,0.1157,0.2427,0.1099,0.2126,0.0844
15,600,0.2105,0.0974,0.2453,0.1092,0.2328,0.1051,0.2029,0.0787
