learner,representation,source,target,is_cross,oa,ba_block,ba_pooled
RF,Full_Intensity_28,t15,t15,False,73.15625,67.57630009656965,75.90735989383901
RF,Full_Intensity_28,t15,t37,True,72.39583333333334,65.55509409694015,72.94748030980111
RF,Full_Intensity_28,t15,t88,True,68.5,65.60229721729995,73.12769032299697
RF,Full_Intensity_28,t15,t139,True,70.45833333333333,60.57648471029381,72.16362390264642
RF,Full_Intensity_28,t37,t15,True,67.51041666666666,65.96139650095633,73.8148625254464
RF,Full_Intensity_28,t37,t37,False,70.79166666666666,66.53424679258333,74.32123023397065
RF,Full_Intensity_28,t37,t88,True,61.645833333333336,64.78902495939678,71.91706782325126
RF,Full_Intensity_28,t37,t139,True,68.17708333333333,60.69151609065148,72.37769962111264
RF,Full_Intensity_28,t88,t15,True,70.78125,65.51893300336206,69.39142888288752
RF,Full_Intensity_28,t88,t37,True,69.5625,60.12320055756268,68.8555784346918
RF,Full_Intensity_28,t88,t88,False,70.78125,67.17950087868589,75.5749386584929
RF,Full_Intensity_28,t88,t139,True,68.03125,59.867492571442774,69.48510638795595
RF,Full_Intensity_28,t139,t15,True,65.65625,62.10502809784302,67.42740034179126
RF,Full_Intensity_28,t139,t37,True,69.97916666666667,63.37842457280109,66.99201577546073
RF,Full_Intensity_28,t139,t88,True,62.81250000000001,62.7530299966865,67.85541349793145
RF,Full_Intensity_28,t139,t139,False,71.6875,66.99052810623841,75.7495097070003
RF,Base8_Raw_g12,t15,t15,False,74.57291666666667,74.10566925200793,80.84895785875548
RF,Base8_Raw_g12,t15,t37,True,72.60416666666667,69.53049856748116,77.9501399284975
RF,Base8_Raw_g12,t15,t88,True,71.4375,72.7147324660554,80.12715721574531
RF,Base8_Raw_g12,t15,t139,True,71.40625,66.65253624293439,77.2208398177918
RF,Base8_Raw_g12,t37,t15,True,70.5,73.03620569876226,81.00976527134402
RF,Base8_Raw_g12,t37,t37,False,71.78125,69.99727149701171,80.01399806455242
RF,Base8_Raw_g12,t37,t88,True,67.10416666666667,71.29986540751337,79.56059421119603
RF,Base8_Raw_g12,t37,t139,True,70.69791666666667,70.49827101624197,78.32450436990561
RF,Base8_Raw_g12,t88,t15,True,71.86458333333333,72.77868658990175,78.50854437275193
RF,Base8_Raw_g12,t88,t37,True,68.70833333333334,67.49862099816431,76.32827717754641
RF,Base8_Raw_g12,t88,t88,False,72.5625,73.98593131775847,80.63524016786415
RF,Base8_Raw_g12,t88,t139,True,68.76041666666667,68.23462747708233,77.12000877005548
RF,Base8_Raw_g12,t139,t15,True,66.40625,68.1069738005826,74.4973799174288
RF,Base8_Raw_g12,t139,t37,True,69.85416666666666,67.46800062432267,76.25891192085246
RF,Base8_Raw_g12,t139,t88,True,64.76041666666667,67.64489685966443,76.69719447478737
