learner,representation,source_track,seed,old_ba,new_ba,delta_ba
RF,I8,t15,17,67.01988422577516,68.57773517952272,1.557850953747561
RF,I8,t15,29,66.97389080206572,67.38081609489326,0.40692529282753753
RF,I8,t15,43,65.52689927782048,67.92490349949341,2.3980042216729345
RF,I8,t37,17,66.95031234867683,68.37925632191418,1.4289439732373523
RF,I8,t37,29,67.32620799027849,67.76212939559636,0.4359214053178704
RF,I8,t37,43,65.9450748645875,66.80313659024841,0.8580617256609173
RF,I8,t88,17,68.04032447973452,70.71761863528579,2.677294155551266
RF,I8,t88,29,69.60256913439032,70.66808603680123,1.0655169024109057
RF,I8,t88,43,69.78496520221655,68.69941299451354,-1.0855522077030173
RF,I8,t139,17,68.63659664533964,70.54989588067507,1.9132992353354297
RF,I8,t139,29,69.72265402685606,70.2492554641837,0.526601437327642
RF,I8,t139,43,67.66614480986543,70.9968187888688,3.3306739790033646
RF,I28,t15,17,70.8158468001711,71.80447984531114,0.988633045140034
RF,I28,t15,29,70.15911025810566,72.21996464204857,2.0608543839429103
RF,I28,t15,43,71.43751070885025,72.12576503738173,0.6882543285314711
RF,I28,t37,17,68.05051943318183,70.75765604323749,2.707136610055656
RF,I28,t37,29,68.36054909113965,70.48997495686258,2.1294258657229364
RF,I28,t37,43,68.57987923716287,69.49961260051037,0.919733363347504
RF,I28,t88,17,69.98635662019505,73.06830810700188,3.0819514868068296
RF,I28,t88,29,70.06207207808342,71.8315118160233,1.7694397379398765
RF,I28,t88,43,71.32122655439963,70.63211421455804,-0.6891123398415857
RF,I28,t139,17,69.70755054981987,73.82828677019235,4.120736220372478
RF,I28,t139,29,71.03329703481445,72.07839632042509,1.0450992856106325
RF,I28,t139,43,71.11694417818022,73.0442203007284,1.9272761225481787
RF,I8_G9,t15,17,77.6795362784388,77.92209535245033,0.242559074011524
RF,I8_G9,t15,29,77.5648401336545,77.9350009653626,0.3701608317081053
RF,I8_G9,t15,43,77.3240534497788,77.34228726692697,0.018233817148171738
RF,I8_G9,t37,17,75.44474974814774,76.69259101954589,1.2478412713981442
RF,I8_G9,t37,29,74.56934227963785,76.6434067440052,2.0740644643673534
RF,I8_G9,t37,43,74.23746388095047,75.85041576061606,1.6129518796655873
RF,I8_G9,t88,17,75.68047109965731,77.93374664435217,2.2532755446948585
RF,I8_G9,t88,29,75.99763933868836,78.32940889996301,2.3317695612746547
RF,I8_G9,t88,43,76.9215676947691,75.6196944139581,-1.3018732808109945
RF,I8_G9,t139,17,76.39970225330383,78.71958818968992,2.319885936386086
RF,I8_G9,t139,29,76.21413330830138,77.63698476652318,1.4228514582217997
RF,I8_G9,t139,43,76.01227042613397,77.17973586882381,1.1674654426898456
RF,F12,t15,17,77.21086601471202,78.39003460823474,1.1791685935227179
RF,F12,t15,29,77.27917449928783,79.1065788320896,1.8274043328017626
RF,F12,t15,43,77.23696955594804,76.58159967727242,-0.6553698786756144
RF,F12,t37,17,75.73564709870648,76.73830800573856,1.0026609070320802
RF,F12,t37,29,74.44033729513396,76.11415939705786,1.6738221019239035
RF,F12,t37,43,74.80433618659828,74.89336328161784,0.08902709501955997
RF,F12,t88,17,76.0246286168462,77.93464051607602,1.910011899229815
RF,F12,t88,29,76.382240298728,77.98448830931869,1.6022480105906993
RF,F12,t88,43,77.17713187964802,76.47315186365728,-0.7039800159907372
RF,F12,t139,17,76.34352067624725,78.31274097299415,1.9692202967468972
RF,F12,t139,29,76.76124908417944,76.55204242301554,-0.20920666116390407
RF,F12,t139,43,76.28953754318269,76.8547862262781,0.5652486830954047
RF,I28_G29,t15,17,78.57371135311382,78.82033599712777,0.24662464401394857
RF,I28_G29,t15,29,78.84516625133111,78.81559290274988,-0.029573348581223513
RF,I28_G29,t15,43,78.12126351681408,78.75308877705972,0.631825260245634
RF,I28_G29,t37,17,75.19926541572259,76.59827420487437,1.3990087891517788
RF,I28_G29,t37,29,75.11286722284744,75.6666874602472,0.553820237399762
RF,I28_G29,t37,43,75.0357685024518,75.7649433576549,0.7291748552030981
RF,I28_G29,t88,17,75.09218647754022,77.43699312567072,2.3448066481305005
RF,I28_G29,t88,29,75.73195580467255,77.93696152018848,2.2050057155159237
RF,I28_G29,t88,43,76.63369013055025,75.99725357624243,-0.6364365543078208
RF,I28_G29,t139,17,76.21526168484736,78.71981783913749,2.5045561542901282
RF,I28_G29,t139,29,76.78031993341143,77.7206174986271,0.9402975652156726
RF,I28_G29,t139,43,77.69884670429717,77.09533263209435,-0.6035140722028132
SVC,I8,t15,17,68.05325793291284,67.36937217526308,-0.6838857576497617
SVC,I8,t15,29,68.61363917133201,68.53306092750199,-0.08057824383001844
SVC,I8,t15,43,68.42643542262576,67.56514668944573,-0.8612887331800323
SVC,I8,t37,17,68.76810911212826,68.11200583127689,-0.6561032808513687
SVC,I8,t37,29,65.41281435235125,67.52072374491522,2.1079093925639683
SVC,I8,t37,43,66.67286625844449,67.38228914554888,0.7094228871043953
SVC,I8,t88,17,69.19888045428625,70.48680174420471,1.287921289918458
SVC,I8,t88,29,69.19699018318245,71.50730924464627,2.310319061463815
SVC,I8,t88,43,69.0031536413237,69.01927655320483,0.016122911881126356
SVC,I8,t139,17,69.0971417191492,69.58007574868691,0.48293402953770226
SVC,I8,t139,29,68.73737624060722,70.1716012398725,1.4342249992652825
SVC,I8,t139,43,68.60637763905719,69.55523172999771,0.9488540909405287
SVC,I28,t15,17,71.25000833183468,70.56991347548822,-0.6800948563464573
SVC,I28,t15,29,71.5378995474557,71.46171405871436,-0.07618548874133069
SVC,I28,t15,43,70.50025421138557,70.94182011260936,0.4415659012237967
SVC,I28,t37,17,69.4164673392798,71.01965436837922,1.6031870290994163
SVC,I28,t37,29,70.14900470078318,71.05243354861327,0.9034288478300851
SVC,I28,t37,43,69.2633774066931,69.61903613485879,0.3556587281656931
SVC,I28,t88,17,70.3969252272107,70.99743442001902,0.6005091928083175
SVC,I28,t88,29,69.77902299492168,72.17526676527108,2.3962437703494004
SVC,I28,t88,43,70.9538795459084,71.61244302215046,0.6585634762420511
SVC,I28,t139,17,72.63177676995254,73.36258627776705,0.7308095078145129
SVC,I28,t139,29,72.35423952451548,70.7756308917885,-1.5786086327269828
SVC,I28,t139,43,71.43525332782957,73.91570805334324,2.480454725513667
SVC,I8_G9,t15,17,78.66058478905839,80.16670174727402,1.5061169582156282
SVC,I8_G9,t15,29,78.4288975052579,80.12444865257814,1.695551147320245
SVC,I8_G9,t15,43,78.22448338871995,78.23195259827831,0.007469209558365719
SVC,I8_G9,t37,17,75.9570036902898,77.12565127014767,1.1686475798578755
SVC,I8_G9,t37,29,73.65391720036372,76.12064026162322,2.4667230612595006
SVC,I8_G9,t37,43,75.02884091766886,76.5612540303979,1.5324131127290457
SVC,I8_G9,t88,17,76.95000129812242,77.73519690022258,0.7851956021001598
SVC,I8_G9,t88,29,76.65846753665423,78.848752394167,2.190284857512765
SVC,I8_G9,t88,43,76.9530806751776,77.08459935371701,0.13151867853940757
SVC,I8_G9,t139,17,76.55944373554625,78.14892008338725,1.589476347841
SVC,I8_G9,t139,29,77.56690762294564,78.29932495740354,0.7324173344579066
SVC,I8_G9,t139,43,76.24239053531274,76.95721836525584,0.7148278299431041
SVC,F12,t15,17,78.006470224331,80.12319306000421,2.1167228356732153
SVC,F12,t15,29,77.85493815643581,79.96567640512475,2.1107382486889463
SVC,F12,t15,43,78.81982496903373,78.84520916251392,0.025384193480192607
SVC,F12,t37,17,75.88458334269768,76.93186655769256,1.0472832149948772
SVC,F12,t37,29,75.79633800318999,75.77744500667055,-0.01889299651944043
SVC,F12,t37,43,75.42944706128465,75.67230347382298,0.24285641253833035
SVC,F12,t88,17,77.33110515492321,78.80216251924621,1.471057364323002
SVC,F12,t88,29,76.963910519815,77.64476569854163,0.680855178726631
SVC,F12,t88,43,77.1084277830355,77.26255493476464,0.15412715172914204
SVC,F12,t139,17,77.3114928979737,77.61333018329874,0.3018372853250497
SVC,F12,t139,29,78.36320348203728,77.61460091589618,-0.748602566141102
SVC,F12,t139,43,77.64113485842863,77.1454847540075,-0.4956501044211308
SVC,I28_G29,t15,17,79.87179354980286,80.3682098104669,0.4964162606640343
SVC,I28_G29,t15,29,80.119743920591,80.1654969842553,0.04575306366429288
SVC,I28_G29,t15,43,78.34696763848501,79.97150685587668,1.6245392173916713
SVC,I28_G29,t37,17,76.0474020270187,76.75181271382206,0.7044106868033566
SVC,I28_G29,t37,29,74.73317988207413,77.53897771766336,2.8057978355892317
SVC,I28_G29,t37,43,74.77348702450591,75.30558480049397,0.5320977759880634
SVC,I28_G29,t88,17,76.29257210516523,78.88367258349295,2.591100478327718
SVC,I28_G29,t88,29,76.9587682704251,77.59347355277491,0.6347052823498132
SVC,I28_G29,t88,43,77.47592422787461,77.80015642655435,0.32423219867973785
SVC,I28_G29,t139,17,78.14743446096475,78.92032139704756,0.7728869360828128
SVC,I28_G29,t139,29,77.11049644054413,76.65015848990791,-0.46033795063621596
SVC,I28_G29,t139,43,77.18871708574622,77.87904188081151,0.690324795065294
