model_key,learner,representation,source_track,params_old,params_new,is_changed,cv_ba_old,cv_ba_new,delta_cv_ba
RF_F12_t139,RF,F12,t139,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}",True,77.36,77.47,0.11
RF_F12_t15,RF,F12,t15,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,78.9,77.81,-1.09
RF_F12_t37,RF,F12,t37,"{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",True,77.5,77.07,-0.43
RF_F12_t88,RF,F12,t88,"{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",True,76.39,74.13,-2.26
RF_I28_G29_t139,RF,I28_G29,t139,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",False,78.01,78.39,0.38
RF_I28_G29_t15,RF,I28_G29,t15,"{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",False,78.95,78.08,-0.88
RF_I28_G29_t37,RF,I28_G29,t37,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,77.84,77.86,0.02
RF_I28_G29_t88,RF,I28_G29,t88,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",False,77.0,75.99,-1.01
RF_I28_t139,RF,I28,t139,"{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",True,72.4,72.95,0.55
RF_I28_t15,RF,I28,t15,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,72.72,70.74,-1.98
RF_I28_t37,RF,I28,t37,"{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",True,71.44,71.85,0.4
RF_I28_t88,RF,I28,t88,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,71.02,69.99,-1.03
RF_I8_G9_t139,RF,I8_G9,t139,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",False,77.21,77.32,0.11
RF_I8_G9_t15,RF,I8_G9,t15,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",False,78.42,77.52,-0.9
RF_I8_G9_t37,RF,I8_G9,t37,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,77.21,76.58,-0.63
RF_I8_G9_t88,RF,I8_G9,t88,"{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",False,76.67,75.81,-0.86
RF_I8_t139,RF,I8,t139,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",True,69.71,69.35,-0.36
RF_I8_t15,RF,I8,t15,"{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",True,70.05,68.06,-1.99
RF_I8_t37,RF,I8,t37,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 1}",False,69.06,68.84,-0.22
RF_I8_t88,RF,I8,t88,"{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 1}",False,68.2,67.48,-0.72
SVC_F12_t139,SVC,F12,t139,"{'C': 1.0, 'gamma_mult': 1.0}","{'C': 10.0, 'gamma_mult': 0.1}",True,76.7,77.07,0.37
SVC_F12_t15,SVC,F12,t15,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,79.22,79.32,0.1
SVC_F12_t37,SVC,F12,t37,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,77.32,77.44,0.12
SVC_F12_t88,SVC,F12,t88,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 100.0, 'gamma_mult': 0.1}",True,75.08,75.61,0.53
SVC_I28_G29_t139,SVC,I28_G29,t139,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 100.0, 'gamma_mult': 0.1}",True,77.98,78.19,0.21
SVC_I28_G29_t15,SVC,I28_G29,t15,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,79.96,80.33,0.37
SVC_I28_G29_t37,SVC,I28_G29,t37,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,78.53,77.9,-0.63
SVC_I28_G29_t88,SVC,I28_G29,t88,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,78.66,77.91,-0.75
SVC_I28_t139,SVC,I28,t139,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 100.0, 'gamma_mult': 0.1}",True,71.65,72.12,0.47
SVC_I28_t15,SVC,I28,t15,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 1.0, 'gamma_mult': 0.1}",True,72.52,70.44,-2.08
SVC_I28_t37,SVC,I28,t37,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,71.68,71.04,-0.65
SVC_I28_t88,SVC,I28,t88,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",False,70.96,69.46,-1.5
SVC_I8_G9_t139,SVC,I8_G9,t139,"{'C': 1.0, 'gamma_mult': 1.0}","{'C': 10.0, 'gamma_mult': 0.1}",True,77.36,77.13,-0.23
SVC_I8_G9_t15,SVC,I8_G9,t15,"{'C': 100.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",True,79.05,79.73,0.67
SVC_I8_G9_t37,SVC,I8_G9,t37,"{'C': 1.0, 'gamma_mult': 1.0}","{'C': 10.0, 'gamma_mult': 0.1}",True,77.31,77.38,0.07
SVC_I8_G9_t88,SVC,I8_G9,t88,"{'C': 100.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",True,76.68,76.08,-0.6
SVC_I8_t139,SVC,I8,t139,"{'C': 100.0, 'gamma_mult': 0.1}","{'C': 100.0, 'gamma_mult': 0.1}",False,69.29,68.83,-0.46
SVC_I8_t15,SVC,I8,t15,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 100.0, 'gamma_mult': 0.1}",True,68.41,66.95,-1.47
SVC_I8_t37,SVC,I8,t37,"{'C': 100.0, 'gamma_mult': 0.1}","{'C': 10.0, 'gamma_mult': 0.1}",True,68.02,68.12,0.1
SVC_I8_t88,SVC,I8,t88,"{'C': 10.0, 'gamma_mult': 0.1}","{'C': 1.0, 'gamma_mult': 1.0}",True,66.5,66.28,-0.23
