learner,representation,cross_ba_mean,cross_ba_std,in_ba_mean,in_ba_std,cross_oa_mean,cross_oa_std,in_oa_mean,in_oa_std
RF,F12,72.6888,0.7177,77.1613,0.8561,70.6597,0.1289,74.0799,0.1441
RF,I28,67.0252,0.3968,71.7817,0.5311,69.4152,0.08,73.0312,0.1572
RF,I28_G29,73.3278,0.5479,77.4438,0.5018,71.3683,0.0602,74.7214,0.1759
RF,I8,64.3613,0.5832,69.0591,0.4766,67.8255,0.1151,71.6328,0.1447
RF,I8_G9,72.9653,0.4196,77.3171,0.7151,70.2925,0.0817,73.7743,0.1487
SVC,F12,73.8947,0.2847,77.7832,0.5688,72.235,0.026,75.0651,0.056
SVC,I28,66.7204,0.1369,71.4586,0.0819,71.1348,0.0454,74.4497,0.0438
SVC,I28_G29,73.7118,0.4342,78.1524,0.5162,72.7763,0.0344,75.8984,0.1249
SVC,I8,63.9935,0.5237,68.9002,0.5265,70.2992,0.0918,73.3542,0.0523
SVC,I8_G9,74.0903,0.4808,77.9504,0.6428,72.2384,0.0589,75.0182,0.0114
