learner,class_id,class_name,unique_eval_pixels,cumulative_predictions,recall_I28,recall_I28_G29,delta_recall,ba_contribution_pp,conf_to_forest_I28,conf_to_forest_I28_G29,conf_to_urban_I28,conf_to_urban_I28_G29
RF,0,Forest,1935,69660,76.15,81.13,4.97,0.99,76.15,81.13,6.88,1.32
RF,1,Grassland,5302,190872,76.49,76.97,0.48,0.1,5.32,5.35,1.46,0.82
RF,2,Cropland,2140,77040,45.95,47.19,1.24,0.25,5.77,6.28,3.02,1.53
RF,3,Urban,165,5940,67.22,90.71,23.48,4.7,17.49,0.79,67.22,90.71
RF,4,Water,58,2088,69.3,70.64,1.34,0.27,0.72,1.25,0.29,0.0
SVC,0,Forest,1935,69660,78.3,82.92,4.61,0.92,78.3,82.92,5.23,1.39
SVC,1,Grassland,5302,190872,81.86,81.82,-0.04,-0.01,5.15,5.35,1.39,0.89
SVC,2,Cropland,2140,77040,38.52,39.69,1.18,0.24,6.47,7.02,2.49,1.65
SVC,3,Urban,165,5940,66.63,93.01,26.38,5.28,19.41,0.84,66.63,93.01
SVC,4,Water,58,2088,68.3,71.12,2.83,0.57,0.72,1.96,1.63,0.29
