learner,representation,source_track,target_track,is_in_track,ba,oa
RF,I28,t15,t15,True,72.05,74.03
RF,I28,t15,t37,False,66.55,72.59
RF,I28,t15,t88,False,70.31,69.82
RF,I28,t15,t139,False,66.87,70.2
RF,I28,t37,t15,False,70.81,70.27
RF,I28,t37,t37,True,70.25,72.9
RF,I28,t37,t88,False,70.37,65.25
RF,I28,t37,t139,False,68.81,69.74
RF,I28,t88,t15,False,67.66,71.17
RF,I28,t88,t37,False,65.07,69.86
RF,I28,t88,t88,True,71.84,71.84
RF,I28,t88,t139,False,66.78,69.07
RF,I28,t139,t15,False,65.74,68.26
RF,I28,t139,t37,False,60.85,71.85
RF,I28,t139,t88,False,64.47,64.9
RF,I28,t139,t139,True,72.98,73.35
RF,I28_G29,t15,t15,True,78.8,76.22
RF,I28_G29,t15,t37,False,73.11,73.82
RF,I28_G29,t15,t88,False,77.19,72.09
RF,I28_G29,t15,t139,False,73.11,71.82
RF,I28_G29,t37,t15,False,77.83,72.81
RF,I28_G29,t37,t37,True,76.01,74.27
RF,I28_G29,t37,t88,False,76.45,69.5
RF,I28_G29,t37,t139,False,73.51,71.98
RF,I28_G29,t88,t15,False,74.6,72.94
RF,I28_G29,t88,t37,False,71.21,71.1
RF,I28_G29,t88,t88,True,77.12,73.8
RF,I28_G29,t88,t139,False,72.45,70.54
RF,I28_G29,t139,t15,False,72.0,69.75
RF,I28_G29,t139,t37,False,68.22,72.8
RF,I28_G29,t139,t88,False,70.26,67.27
RF,I28_G29,t139,t139,True,77.85,74.6
SVC,I28,t15,t15,True,70.99,75.33
SVC,I28,t15,t37,False,66.43,73.11
SVC,I28,t15,t88,False,69.53,70.92
SVC,I28,t15,t139,False,67.33,71.49
SVC,I28,t37,t15,False,70.79,72.64
SVC,I28,t37,t37,True,70.56,73.97
SVC,I28,t37,t88,False,70.89,67.73
SVC,I28,t37,t139,False,68.06,70.73
SVC,I28,t88,t15,False,67.82,73.19
SVC,I28,t88,t37,False,66.05,71.64
SVC,I28,t88,t88,True,71.6,73.8
SVC,I28,t88,t139,False,65.46,70.48
SVC,I28,t139,t15,False,65.77,70.66
SVC,I28,t139,t37,False,59.74,73.24
SVC,I28,t139,t88,False,62.8,67.8
SVC,I28,t139,t139,True,72.68,74.7
SVC,I28_G29,t15,t15,True,80.17,77.23
SVC,I28_G29,t15,t37,False,74.62,74.43
SVC,I28_G29,t15,t88,False,77.12,72.64
SVC,I28_G29,t15,t139,False,73.3,72.38
SVC,I28_G29,t37,t15,False,78.16,75.32
SVC,I28_G29,t37,t37,True,76.53,75.53
SVC,I28_G29,t37,t88,False,78.05,71.34
SVC,I28_G29,t37,t139,False,74.05,73.1
SVC,I28_G29,t88,t15,False,75.39,74.38
SVC,I28_G29,t88,t37,False,73.24,72.88
SVC,I28_G29,t88,t88,True,78.09,75.1
SVC,I28_G29,t88,t139,False,72.03,71.64
SVC,I28_G29,t139,t15,False,72.15,71.86
SVC,I28_G29,t139,t37,False,67.34,74.13
SVC,I28_G29,t139,t88,False,69.1,69.23
SVC,I28_G29,t139,t139,True,77.82,75.73
