learner,train_label,test_label,eval_support,delta_ba_mean,ci_lo,ci_hi,ci_method,status_zero_crossing
RF,C2_Consensus,C2_Consensus,C2,7.08,6.66,7.54,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
RF,CLC,CLC,U2,6.27,5.81,6.71,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
RF,CLC,WC,U2,4.31,4.03,4.59,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
RF,WC,CLC,U2,5.37,4.95,5.78,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
RF,WC,WC,C2,6.68,6.11,7.26,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
RF,WC,WC,U2,3.68,3.29,4.04,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,C2_Consensus,C2_Consensus,C2,8.01,7.3,8.75,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,CLC,CLC,U2,7.88,7.54,8.24,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,CLC,WC,U2,5.51,5.09,5.91,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,WC,CLC,U2,8.79,8.19,9.37,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,WC,WC,C2,10.96,10.17,11.71,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
SVC,WC,WC,U2,6.26,5.79,6.73,iid_resample_of_36_aggregates_NOT_block_bootstrap,No zero crossing (under anti-conservative intervals)
