track,class_id,n_pixels,med_vv_db,med_vh_db,med_rt_db,med_abs_vvd_db,med_g12
t15,0,61325,-9.226033210754395,-15.290413856506348,-6.087400436401367,0.9167642593383789,0.2601486146450043
t15,1,216544,-11.911550521850586,-18.40131378173828,-6.158247470855713,1.7110137939453125,0.36125683784484863
t15,2,282073,-11.288032531738281,-18.05685806274414,-6.41671085357666,1.5733652114868164,0.3632969260215759
t15,3,34951,-8.364572525024414,-15.744831085205078,-7.264219284057617,0.9270505905151367,0.7808141708374023
t15,4,5424,-18.29967498779297,-25.370594024658203,-6.534219264984131,1.6370840072631836,0.24675628542900085
t37,0,61325,-9.685210227966309,-15.622568130493164,-5.977570056915283,0.868781566619873,0.2501998543739319
t37,1,216544,-12.821144104003906,-19.010774612426758,-6.033604621887207,1.4374003410339355,0.3249189257621765
t37,2,282073,-12.171424865722656,-18.711095809936523,-6.306156635284424,1.3270173072814941,0.32805073261260986
t37,3,34951,-8.615596771240234,-15.85959243774414,-7.055405616760254,0.8083534240722656,0.8206378817558289
t37,4,5424,-18.51313018798828,-26.509212493896484,-7.504612922668457,1.5529255867004395,0.24442291259765625
t88,0,61325,-8.832340240478516,-14.523143768310547,-5.73784875869751,0.8458728790283203,0.2548903226852417
t88,1,216544,-12.048821449279785,-18.223237991333008,-5.939911842346191,1.3984580039978027,0.3307798504829407
t88,2,282073,-11.74526309967041,-18.066076278686523,-6.066288948059082,1.3229560852050781,0.3438013792037964
t88,3,34951,-7.76498556137085,-14.841724395751953,-6.943270206451416,0.7765111923217773,0.8045958280563354
t88,4,5424,-17.510324478149414,-24.90938949584961,-6.960531234741211,1.3634653091430664,0.2514427900314331
t139,0,61325,-9.370430946350098,-15.158336639404297,-5.828059673309326,0.9088821411132812,0.2803206443786621
t139,1,216544,-12.961453437805176,-19.06232452392578,-6.0180888175964355,1.3816778659820557,0.2859002947807312
t139,2,282073,-12.205911636352539,-18.57693099975586,-6.1858038902282715,1.3183202743530273,0.3014894425868988
t139,3,34951,-8.199386596679688,-15.381942749023438,-6.980060577392578,0.7999176979064941,0.8363789319992065
t139,4,5424,-19.0262393951416,-24.460498809814453,-5.362934589385986,1.353428840637207,0.27047550678253174
