learner,representation,old_cross_ba_mean,old_cross_ba_ci_lo,old_cross_ba_ci_hi,new_cross_ba_mean,new_cross_ba_ci_lo,new_cross_ba_ci_hi,diff_mean_pp,lower_bound_repair_pp
RF,I8,63.08,51.41,66.74,63.53,60.95,66.77,0.45,9.54
RF,I28,65.44,53.59,68.48,65.89,63.04,68.52,0.46,9.44
RF,I8_G9,71.94,58.87,75.2,72.42,70.6,75.22,0.48,11.73
RF,F12,72.12,59.02,75.16,72.61,70.64,75.18,0.48,11.62
RF,I28_G29,72.32,59.42,75.37,72.79,70.85,75.39,0.48,11.42
SVC,I8,63.23,51.22,66.76,63.69,60.81,66.79,0.47,9.59
SVC,I28,65.92,53.61,69.58,66.39,63.12,69.61,0.47,9.51
SVC,I8_G9,72.07,59.06,75.37,72.55,70.48,75.38,0.48,11.43
SVC,F12,73.52,59.14,76.64,74.05,71.95,76.65,0.53,12.81
SVC,I28_G29,73.21,59.61,76.55,73.71,71.48,76.56,0.5,11.87
