holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
north_holdout_5km_buffer,5.0,17,RF,I28,t15,t37,73.125,68.84649941973065
north_holdout_5km_buffer,5.0,17,RF,I28,t15,t88,73.95833333333334,70.88750311478493
north_holdout_5km_buffer,5.0,17,RF,I28,t15,t139,75.77083333333333,70.14598086747026
north_holdout_5km_buffer,5.0,17,RF,I28,t37,t15,69.85416666666666,67.9445964345726
north_holdout_5km_buffer,5.0,17,RF,I28,t37,t88,70.10416666666667,71.876007666156
north_holdout_5km_buffer,5.0,17,RF,I28,t37,t139,74.08333333333333,70.99537234847277
north_holdout_5km_buffer,5.0,17,RF,I28,t88,t15,68.89583333333333,61.67534654321681
north_holdout_5km_buffer,5.0,17,RF,I28,t88,t37,66.1875,61.59135125526838
north_holdout_5km_buffer,5.0,17,RF,I28,t88,t139,67.41666666666667,67.19102908914512
north_holdout_5km_buffer,5.0,17,RF,I28,t139,t15,66.22916666666666,60.282668734698476
north_holdout_5km_buffer,5.0,17,RF,I28,t139,t37,70.625,54.42961061044074
north_holdout_5km_buffer,5.0,17,RF,I28,t139,t88,63.979166666666664,58.994330188785035
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t37,75.79166666666667,73.6972332806879
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t88,77.375,79.00285848393635
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t15,t139,77.39583333333333,73.83440753001386
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t15,72.41666666666666,72.87334673858436
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t88,73.625,78.53943713477926
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t37,t139,75.70833333333333,75.24729529675993
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t15,70.77083333333334,68.1473567501199
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t37,69.72916666666666,67.71458191663248
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t88,t139,69.625,71.53155902124342
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t15,69.1875,63.53933439115983
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t37,74.5,62.7695779752307
north_holdout_5km_buffer,5.0,17,RF,I28_G29,t139,t88,68.89583333333333,66.92290095088708
north_holdout_5km_buffer,5.0,17,SVC,I28,t15,t37,74.64583333333333,64.87291522463889
north_holdout_5km_buffer,5.0,17,SVC,I28,t15,t88,75.08333333333333,71.32619280531031
north_holdout_5km_buffer,5.0,17,SVC,I28,t15,t139,78.77083333333333,71.30168592539283
north_holdout_5km_buffer,5.0,17,SVC,I28,t37,t15,72.6875,66.66379732484147
north_holdout_5km_buffer,5.0,17,SVC,I28,t37,t88,71.8125,70.71097272530434
north_holdout_5km_buffer,5.0,17,SVC,I28,t37,t139,76.97916666666667,71.47235248750265
north_holdout_5km_buffer,5.0,17,SVC,I28,t88,t15,71.66666666666667,61.41543864492724
north_holdout_5km_buffer,5.0,17,SVC,I28,t88,t37,70.75,63.07317230969524
north_holdout_5km_buffer,5.0,17,SVC,I28,t88,t139,73.04166666666667,69.82012314462669
north_holdout_5km_buffer,5.0,17,SVC,I28,t139,t15,70.64583333333333,55.32021224881633
north_holdout_5km_buffer,5.0,17,SVC,I28,t139,t37,73.66666666666667,51.80103580774003
north_holdout_5km_buffer,5.0,17,SVC,I28,t139,t88,68.27083333333334,56.73269624368334
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t37,78.27083333333333,76.51451052775717
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t88,78.89583333333333,79.23267168523613
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t139,80.625,76.28863777791291
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t15,76.29166666666667,73.49784367730112
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t88,75.54166666666666,78.34769902237556
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t139,79.0625,76.57023311834118
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t15,74.72916666666667,73.61367898567886
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t37,73.83333333333333,68.37691616592836
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t139,75.27083333333333,76.18153863809628
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t15,73.14583333333333,62.523542528343846
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t37,76.625,59.858522767655906
north_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t88,71.14583333333333,70.6608895053372
