learner,params,fold,fold_ba,fold_oa,representation,source_track
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",1,0.5779524891226113,0.7375131243437828,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",2,0.5330756772178127,0.7013649317534123,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",3,0.5808175321647135,0.5276736163191841,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",1,0.5662982619080086,0.7442627868606569,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",2,0.5456103194776922,0.7153142342882856,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",3,0.49729845771061176,0.568021598920054,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",1,0.4447304688756735,0.6539673016349182,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",2,0.41184625537129094,0.6452677366131694,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",3,0.3607764873662803,0.41652917354132296,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",1,0.6865277211580947,0.7522123893805309,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",2,0.6452470477257609,0.719814009299535,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",3,0.6889818890684466,0.5570721463926803,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",1,0.6927766143380015,0.7477126143692815,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",2,0.6384520413178424,0.7270136493175341,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",3,0.7084046065597148,0.5996700164991751,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",1,0.5123669802513073,0.7099145042747863,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",2,0.4801516816172189,0.6848657567121644,I8,t15
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",3,0.46351647531492957,0.536523173841308,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",1,0.6891489238212323,0.7535623218839058,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",2,0.6669006636517718,0.7264136793160342,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",3,0.6963986448424834,0.5618719064046798,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",1,0.6097656220591297,0.743962801859907,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",2,0.6392716411488574,0.7225138743062847,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",3,0.7003906277740954,0.5981700914954252,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",1,0.48426289739157413,0.6550172491375431,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",2,0.46053922756319016,0.6326683665816709,I8,t15
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",3,0.44731453475876715,0.5185240737963102,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",1,0.6932311727927447,0.7492125393730313,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",2,0.6619652084503971,0.7288135593220338,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",3,0.6965320636806753,0.5782210889455527,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",1,0.6852179075268812,0.7364631768411579,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",2,0.6321444735944782,0.7141142942852857,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",3,0.686388543229741,0.5804709764511774,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",1,0.45401386660519394,0.5960701964901755,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",2,0.43570992291420574,0.592320383980801,I8,t15
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",3,0.4202399085040035,0.4930253487325634,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",1,0.730749957701936,0.7214639268036598,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",2,0.6595816380103658,0.7222138893055348,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",3,0.7131200592431701,0.599970001499925,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",1,0.7341822410967052,0.7330133493325334,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",2,0.6466507505491618,0.7270136493175341,I8,t15
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",3,0.7207057953817779,0.6086695665216739,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",1,0.7263544449076578,0.7154642267886606,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",2,0.6584760850051389,0.71996400179991,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",3,0.7083687256054069,0.5968201589920504,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",1,0.6938690254701372,0.7291135443227839,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",2,0.6424214999458545,0.7231138443077846,I8,t15
RF,"{'max_features': 0.5, 'min_samples_leaf': 5}",3,0.7124736477033784,0.6064196790160492,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",1,0.6785521212019674,0.7091645417729113,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",2,0.6450875615547579,0.7132143392830359,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 1}",3,0.6910867437997827,0.5935203239838008,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",1,0.6447991959960444,0.7214639268036598,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",2,0.618235118823002,0.7175641217939103,I8,t15
RF,"{'max_features': 1.0, 'min_samples_leaf': 5}",3,0.7006514609038451,0.5989200539973001,I8,t15
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",1,0.6139592847707488,0.7133643317834109,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",2,0.491832664487604,0.6901154942252887,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 0.1}",3,0.4952165922844277,0.4921253937303135,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",1,0.5913130911648048,0.711864406779661,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",2,0.5249823769664809,0.7018149092545373,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 1.0}",3,0.5524458562863181,0.5534723263836808,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",1,0.42280103986043144,0.6236688165591721,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",2,0.3970962240529435,0.6263686815659217,I8,t37
SVC,"{'C': 0.1, 'gamma_mult': 10.0}",3,0.35692971397378886,0.40917954102294884,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",1,0.6694240826893024,0.7177141142942853,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",2,0.6552383724209093,0.7138143092845358,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",3,0.6480654993668284,0.5305234738263087,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",1,0.6796153918033573,0.7193640317984101,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",2,0.66203248094581,0.72026398680066,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",3,0.6772385595701758,0.5806209689515525,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",1,0.5348458584004774,0.688315584220789,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",2,0.4802589232816807,0.6692665366731664,I8,t37
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",3,0.4728524730820823,0.5242237888105594,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",1,0.6753643537819201,0.7258137093145343,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",2,0.6659464431395765,0.7192140392980351,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",3,0.6617168140281492,0.544472776361182,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",1,0.678680874405206,0.7156142192890356,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",2,0.6455099147523694,0.7144142792860357,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",3,0.6681625338189228,0.5668216589170542,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",1,0.5083492595963832,0.6430178491075447,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",2,0.45541179653189,0.6230688465576721,I8,t37
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",3,0.4536085315450449,0.5069746512674367,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",1,0.7205574824012358,0.7216139193040348,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",2,0.6474243396123058,0.7175641217939103,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",3,0.6725594735558128,0.5576721163941802,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",1,0.6719178656106839,0.7130643467826608,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",2,0.6094350239505951,0.6985150742462877,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",3,0.6564196315085753,0.5576721163941802,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",1,0.4783940430577543,0.5794210289485525,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",2,0.4337736421765149,0.5861706914654268,I8,t37
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",3,0.42650287569770295,0.47637618119094044,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",1,0.7223097597329744,0.6943152842357883,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",2,0.655071488431122,0.7111144442777861,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",3,0.6945575867919425,0.583770811459427,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",1,0.7262113007745705,0.7015149242537874,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",2,0.651603330174875,0.7163641817909104,I8,t37
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",3,0.6870235599522563,0.5902204889755512,I8,t37
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",1,0.7222658205776311,0.6905654717264137,I8,t37
