seed,learner,representation,source_track,target_track,train_label,test_label,eval_support,oa,ba
17,RF,I28,t15,t37,WC,WC,U2,65.25,49.57161442933813
17,RF,I28,t15,t37,WC,CLC,U2,50.15625,49.655268841490226
17,RF,I28,t15,t37,CLC,CLC,U2,49.71875,44.87728479680824
17,RF,I28,t15,t37,CLC,WC,U2,32.927083333333336,37.9874295012414
17,RF,I28,t15,t37,WC,WC,C2,74.54470198675497,60.44820721272098
17,RF,I28,t15,t37,C2_Consensus,C2_Consensus,C2,75.0,64.20215352597538
17,RF,I28,t15,t88,WC,WC,U2,66.71875,55.56659422824121
17,RF,I28,t15,t88,WC,CLC,U2,46.63541666666667,51.21878286394708
17,RF,I28,t15,t88,CLC,CLC,U2,47.270833333333336,42.96212687043252
17,RF,I28,t15,t88,CLC,WC,U2,32.26041666666667,39.802593646839945
17,RF,I28,t15,t88,WC,WC,C2,71.83360927152319,64.09821086950664
17,RF,I28,t15,t88,C2_Consensus,C2_Consensus,C2,71.37831125827815,63.645305521233084
17,RF,I28,t15,t139,WC,WC,U2,64.69791666666667,52.38181895903825
17,RF,I28,t15,t139,WC,CLC,U2,49.885416666666664,53.59910798560358
17,RF,I28,t15,t139,CLC,CLC,U2,48.510416666666664,45.639563450411394
17,RF,I28,t15,t139,CLC,WC,U2,31.59375,40.659640113803356
17,RF,I28,t15,t139,WC,WC,C2,73.73758278145695,64.46203756096247
17,RF,I28,t15,t139,C2_Consensus,C2_Consensus,C2,74.11009933774835,64.2816426794359
17,RF,I28,t37,t15,WC,WC,U2,69.45833333333333,59.639485421503615
17,RF,I28,t37,t15,WC,CLC,U2,47.1875,50.963053347335375
17,RF,I28,t37,t15,CLC,CLC,U2,45.86458333333333,45.35000056359203
17,RF,I28,t37,t15,CLC,WC,U2,29.864583333333332,41.72763288864198
17,RF,I28,t37,t15,WC,WC,C2,74.2342715231788,67.68423745754599
17,RF,I28,t37,t15,C2_Consensus,C2_Consensus,C2,71.50248344370861,69.64947656641941
17,RF,I28,t37,t88,WC,WC,U2,64.01041666666667,54.433700552120676
17,RF,I28,t37,t88,WC,CLC,U2,43.96875,50.71010886885221
17,RF,I28,t37,t88,CLC,CLC,U2,45.01041666666667,45.27606676797221
17,RF,I28,t37,t88,CLC,WC,U2,29.25,40.30014743561837
17,RF,I28,t37,t88,WC,WC,C2,67.94288079470199,63.370353861373175
17,RF,I28,t37,t88,C2_Consensus,C2_Consensus,C2,64.96274834437085,64.44606510618149
17,RF,I28,t37,t139,WC,WC,U2,65.625,53.843293867063714
17,RF,I28,t37,t139,WC,CLC,U2,49.45833333333333,53.03751036784276
17,RF,I28,t37,t139,CLC,CLC,U2,47.46875,43.52947801738704
17,RF,I28,t37,t139,CLC,WC,U2,29.90625,38.72174280115501
17,RF,I28,t37,t139,WC,WC,C2,74.35844370860927,65.01703253769377
17,RF,I28,t37,t139,C2_Consensus,C2_Consensus,C2,73.11672185430463,65.39026384029214
17,RF,I28,t88,t15,WC,WC,U2,68.88541666666667,52.86383312441277
17,RF,I28,t88,t15,WC,CLC,U2,49.177083333333336,45.944931528914665
17,RF,I28,t88,t15,CLC,CLC,U2,46.61458333333333,42.58241438075825
17,RF,I28,t88,t15,CLC,WC,U2,30.458333333333332,39.17974766839844
17,RF,I28,t88,t15,WC,WC,C2,75.18625827814569,59.40416796578788
17,RF,I28,t88,t15,C2_Consensus,C2_Consensus,C2,73.11672185430463,67.0088249143863
17,RF,I28,t88,t37,WC,WC,U2,64.27083333333333,48.65508719013516
17,RF,I28,t88,t37,WC,CLC,U2,50.24999999999999,48.4901347706867
17,RF,I28,t88,t37,CLC,CLC,U2,48.489583333333336,41.23764415989481
17,RF,I28,t88,t37,CLC,WC,U2,31.260416666666668,37.29027714181244
17,RF,I28,t88,t37,WC,WC,C2,73.53062913907284,58.68258125441862
17,RF,I28,t88,t37,C2_Consensus,C2_Consensus,C2,71.19205298013244,62.880240141754975
17,RF,I28,t88,t139,WC,WC,U2,65.85416666666667,51.3115384917564
17,RF,I28,t88,t139,WC,CLC,U2,50.760416666666664,50.37150807011962
17,RF,I28,t88,t139,CLC,CLC,U2,46.979166666666664,42.009857462766306
17,RF,I28,t88,t139,CLC,WC,U2,29.114583333333332,37.91926855179382
17,RF,I28,t88,t139,WC,WC,C2,75.14486754966887,62.448922146392036
17,RF,I28,t88,t139,C2_Consensus,C2_Consensus,C2,71.81291390728477,65.18408297439096
17,RF,I28,t139,t15,WC,WC,U2,67.9375,52.22889243837804
17,RF,I28,t139,t15,WC,CLC,U2,46.802083333333336,46.24970817108446
17,RF,I28,t139,t15,CLC,CLC,U2,45.32291666666667,41.510045011948
17,RF,I28,t139,t15,CLC,WC,U2,30.541666666666668,38.13185398760629
17,RF,I28,t139,t15,WC,WC,C2,72.80629139072848,60.56915289598177
17,RF,I28,t139,t15,C2_Consensus,C2_Consensus,C2,68.62582781456953,64.80821121593895
17,RF,I28,t139,t37,WC,WC,U2,65.39583333333333,46.03659236936631
17,RF,I28,t139,t37,WC,CLC,U2,49.802083333333336,45.81204883322549
17,RF,I28,t139,t37,CLC,CLC,U2,49.041666666666664,43.27233070595583
17,RF,I28,t139,t37,CLC,WC,U2,35.510416666666664,38.418830216585384
17,RF,I28,t139,t37,WC,WC,C2,74.46192052980133,55.4643155459581
17,RF,I28,t139,t37,C2_Consensus,C2_Consensus,C2,73.82036423841059,60.56068159918293
17,RF,I28,t139,t88,WC,WC,U2,65.61458333333333,50.4353263293833
17,RF,I28,t139,t88,WC,CLC,U2,44.21875,44.24649341044404
17,RF,I28,t139,t88,CLC,CLC,U2,44.854166666666664,42.7041594964353
17,RF,I28,t139,t88,CLC,WC,U2,31.374999999999996,38.53824919698158
17,RF,I28,t139,t88,WC,WC,C2,69.16390728476821,56.63563928953146
17,RF,I28,t139,t88,C2_Consensus,C2_Consensus,C2,65.48013245033113,57.59444335382417
17,RF,I28_G29,t15,t37,WC,WC,U2,65.5625,54.8991689064909
17,RF,I28_G29,t15,t37,WC,CLC,U2,50.59375000000001,56.39093404335911
17,RF,I28_G29,t15,t37,CLC,CLC,U2,50.11458333333333,52.23850567870313
17,RF,I28_G29,t15,t37,CLC,WC,U2,33.35416666666667,44.27737405257294
17,RF,I28_G29,t15,t37,WC,WC,C2,75.18625827814569,68.64104799627393
17,RF,I28_G29,t15,t37,C2_Consensus,C2_Consensus,C2,75.39321192052981,71.05548460108318
17,RF,I28_G29,t15,t88,WC,WC,U2,67.64583333333334,58.26335054535667
17,RF,I28_G29,t15,t88,WC,CLC,U2,47.38541666666667,55.825412172830255
17,RF,I28_G29,t15,t88,CLC,CLC,U2,48.802083333333336,51.87671986557728
17,RF,I28_G29,t15,t88,CLC,WC,U2,33.59375,45.08006068967297
17,RF,I28_G29,t15,t88,WC,WC,C2,73.07533112582782,68.90136147903507
17,RF,I28_G29,t15,t88,C2_Consensus,C2_Consensus,C2,73.71688741721854,71.40708851859124
17,RF,I28_G29,t15,t139,WC,WC,U2,65.23958333333333,55.308927595820975
17,RF,I28_G29,t15,t139,WC,CLC,U2,50.583333333333336,59.32569991291672
17,RF,I28_G29,t15,t139,CLC,CLC,U2,49.322916666666664,52.0121734267558
17,RF,I28_G29,t15,t139,CLC,WC,U2,32.625,44.911656425004985
17,RF,I28_G29,t15,t139,WC,WC,C2,74.62748344370861,69.20130438185568
17,RF,I28_G29,t15,t139,C2_Consensus,C2_Consensus,C2,75.43460264900662,69.4733292018071
17,RF,I28_G29,t37,t15,WC,WC,U2,70.0625,62.10535847071201
17,RF,I28_G29,t37,t15,WC,CLC,U2,47.96875,55.440134187597046
17,RF,I28_G29,t37,t15,CLC,CLC,U2,47.333333333333336,49.8010955119703
17,RF,I28_G29,t37,t15,CLC,WC,U2,31.71875,45.26050956432937
17,RF,I28_G29,t37,t15,WC,WC,C2,75.14486754966887,73.99221951491775
17,RF,I28_G29,t37,t15,C2_Consensus,C2_Consensus,C2,73.59271523178808,75.97572330578555
17,RF,I28_G29,t37,t88,WC,WC,U2,65.875,58.43135986364343
17,RF,I28_G29,t37,t88,WC,CLC,U2,45.46875,55.95099457242243
17,RF,I28_G29,t37,t88,CLC,CLC,U2,47.583333333333336,51.32119027928794
17,RF,I28_G29,t37,t88,CLC,WC,U2,31.541666666666668,44.82333735242288
17,RF,I28_G29,t37,t88,WC,WC,C2,70.5091059602649,70.84974665532422
17,RF,I28_G29,t37,t88,C2_Consensus,C2_Consensus,C2,69.68129139072848,73.19870267509909
17,RF,I28_G29,t37,t139,WC,WC,U2,66.53125,56.476668741537736
17,RF,I28_G29,t37,t139,WC,CLC,U2,50.572916666666664,57.94703342745148
17,RF,I28_G29,t37,t139,CLC,CLC,U2,48.822916666666664,50.75699078471594
17,RF,I28_G29,t37,t139,CLC,WC,U2,31.333333333333336,42.66302423675897
17,RF,I28_G29,t37,t139,WC,WC,C2,75.82781456953643,70.14372758614938
17,RF,I28_G29,t37,t139,C2_Consensus,C2_Consensus,C2,74.68956953642383,72.60649470792548
17,RF,I28_G29,t88,t15,WC,WC,U2,69.69791666666667,58.48676409564011
17,RF,I28_G29,t88,t15,WC,CLC,U2,49.854166666666664,53.41096438638733
17,RF,I28_G29,t88,t15,CLC,CLC,U2,47.458333333333336,49.9672075150568
17,RF,I28_G29,t88,t15,CLC,WC,U2,31.239583333333332,44.55807798853868
17,RF,I28_G29,t88,t15,WC,WC,C2,76.38658940397352,70.82014799075667
17,RF,I28_G29,t88,t15,C2_Consensus,C2_Consensus,C2,74.66887417218543,72.77690002091425
17,RF,I28_G29,t88,t37,WC,WC,U2,64.98958333333333,55.0693762112044
17,RF,I28_G29,t88,t37,WC,CLC,U2,50.88541666666667,55.92995989881526
17,RF,I28_G29,t88,t37,CLC,CLC,U2,49.22916666666667,48.83150641418717
17,RF,I28_G29,t88,t37,CLC,WC,U2,31.96875,42.347091885354025
17,RF,I28_G29,t88,t37,WC,WC,C2,74.68956953642383,68.9801501976589
17,RF,I28_G29,t88,t37,C2_Consensus,C2_Consensus,C2,72.24751655629139,71.33912901781304
17,RF,I28_G29,t88,t139,WC,WC,U2,66.375,55.55423390880247
17,RF,I28_G29,t88,t139,WC,CLC,U2,51.44791666666667,56.98238491616887
17,RF,I28_G29,t88,t139,CLC,CLC,U2,48.25,49.37592216611782
17,RF,I28_G29,t88,t139,CLC,WC,U2,30.635416666666664,42.73491636184477
17,RF,I28_G29,t88,t139,WC,WC,C2,76.13824503311258,70.16992428529088
17,RF,I28_G29,t88,t139,C2_Consensus,C2_Consensus,C2,72.62003311258279,70.41345761272203
17,RF,I28_G29,t139,t15,WC,WC,U2,69.1875,55.94274815453647
17,RF,I28_G29,t139,t15,WC,CLC,U2,47.479166666666664,50.169988204505
17,RF,I28_G29,t139,t15,CLC,CLC,U2,46.32291666666667,47.584020613344556
17,RF,I28_G29,t139,t15,CLC,WC,U2,30.947916666666668,42.4200800787985
17,RF,I28_G29,t139,t15,WC,WC,C2,74.00662251655629,64.70103685911624
17,RF,I28_G29,t139,t15,C2_Consensus,C2_Consensus,C2,70.13658940397352,70.33935638006449
17,RF,I28_G29,t139,t37,WC,WC,U2,65.8125,50.50952325058877
17,RF,I28_G29,t139,t37,WC,CLC,U2,50.84375,52.17983799217383
17,RF,I28_G29,t139,t37,CLC,CLC,U2,49.28125,47.96009245512622
17,RF,I28_G29,t139,t37,CLC,WC,U2,34.541666666666664,41.84158417246287
17,RF,I28_G29,t139,t37,WC,WC,C2,75.95198675496688,64.19766017041904
17,RF,I28_G29,t139,t37,C2_Consensus,C2_Consensus,C2,74.77235099337747,69.17088249143863
17,RF,I28_G29,t139,t88,WC,WC,U2,66.9375,53.11869390497734
17,RF,I28_G29,t139,t88,WC,CLC,U2,45.29166666666667,49.23833513534773
17,RF,I28_G29,t139,t88,CLC,CLC,U2,45.90625,45.9538660565493
17,RF,I28_G29,t139,t88,CLC,WC,U2,31.302083333333336,40.78471155531134
17,RF,I28_G29,t139,t88,WC,WC,C2,70.94370860927152,62.8763122407371
17,RF,I28_G29,t139,t88,C2_Consensus,C2_Consensus,C2,68.08774834437085,65.24660425752495
17,SVC,I28,t15,t37,WC,WC,U2,64.82291666666666,48.065372453481565
17,SVC,I28,t15,t37,WC,CLC,U2,49.885416666666664,49.511100792160114
17,SVC,I28,t15,t37,CLC,CLC,U2,44.697916666666664,41.56386806919537
17,SVC,I28,t15,t37,CLC,WC,U2,24.71875,35.79214932528683
17,SVC,I28,t15,t37,WC,WC,C2,74.04801324503312,57.9298085768945
17,SVC,I28,t15,t37,C2_Consensus,C2_Consensus,C2,75.45529801324503,62.00557191485977
17,SVC,I28,t15,t88,WC,WC,U2,66.79166666666667,53.10391989664816
17,SVC,I28,t15,t88,WC,CLC,U2,46.03125,48.78273168383022
17,SVC,I28,t15,t88,CLC,CLC,U2,44.77083333333333,40.2682512351925
17,SVC,I28,t15,t88,CLC,WC,U2,26.364583333333336,35.944222496028054
17,SVC,I28,t15,t88,WC,WC,C2,71.19205298013244,60.41685688367443
17,SVC,I28,t15,t88,C2_Consensus,C2_Consensus,C2,71.81291390728477,61.090321963937676
17,SVC,I28,t15,t139,WC,WC,U2,64.51041666666667,49.10702100552983
17,SVC,I28,t15,t139,WC,CLC,U2,49.864583333333336,51.43652705053382
17,SVC,I28,t15,t139,CLC,CLC,U2,44.677083333333336,44.98524318418101
17,SVC,I28,t15,t139,CLC,WC,U2,24.791666666666668,40.15628421996834
17,SVC,I28,t15,t139,WC,WC,C2,73.38576158940397,59.897543153278335
17,SVC,I28,t15,t139,C2_Consensus,C2_Consensus,C2,75.04139072847681,66.8007811407375
17,SVC,I28,t37,t15,WC,WC,U2,69.72916666666666,53.1246965790223
17,SVC,I28,t37,t15,WC,CLC,U2,48.635416666666664,48.39973885809039
17,SVC,I28,t37,t15,CLC,CLC,U2,44.125,43.09983324409248
17,SVC,I28,t37,t15,CLC,WC,U2,26.208333333333332,39.61371710255575
17,SVC,I28,t37,t15,WC,WC,C2,75.74503311258279,61.147381035781336
17,SVC,I28,t37,t15,C2_Consensus,C2_Consensus,C2,74.27566225165563,72.6128653417555
17,SVC,I28,t37,t88,WC,WC,U2,66.0625,52.44270662025748
17,SVC,I28,t37,t88,WC,CLC,U2,45.90625,50.00317570029223
17,SVC,I28,t37,t88,CLC,CLC,U2,44.208333333333336,44.12091078275207
17,SVC,I28,t37,t88,CLC,WC,U2,26.53125,39.36163841764257
17,SVC,I28,t37,t88,WC,WC,C2,70.75745033112582,61.174059275853786
17,SVC,I28,t37,t88,C2_Consensus,C2_Consensus,C2,67.88079470198676,66.3600395446083
17,SVC,I28,t37,t139,WC,WC,U2,65.69791666666667,47.29204252485366
17,SVC,I28,t37,t139,WC,CLC,U2,50.66666666666667,47.66457088886276
17,SVC,I28,t37,t139,CLC,CLC,U2,44.53125,44.11025512449453
17,SVC,I28,t37,t139,CLC,WC,U2,25.302083333333332,40.20876677964533
17,SVC,I28,t37,t139,WC,WC,C2,75.12417218543047,56.51751472016608
17,SVC,I28,t37,t139,C2_Consensus,C2_Consensus,C2,74.31705298013244,67.35671353767707
17,SVC,I28,t88,t15,WC,WC,U2,69.21875,51.127897057891225
17,SVC,I28,t88,t15,WC,CLC,U2,50.16666666666667,44.47294643326954
17,SVC,I28,t88,t15,CLC,CLC,U2,44.04166666666667,41.3688808546388
17,SVC,I28,t88,t15,CLC,WC,U2,24.416666666666668,37.27432485506932
17,SVC,I28,t88,t15,WC,WC,C2,76.34519867549669,57.01172314155096
17,SVC,I28,t88,t15,C2_Consensus,C2_Consensus,C2,75.04139072847681,68.34842302722829
17,SVC,I28,t88,t37,WC,WC,U2,64.05208333333333,44.88499365862227
17,SVC,I28,t88,t37,WC,CLC,U2,50.583333333333336,46.45046864586849
17,SVC,I28,t88,t37,CLC,CLC,U2,43.96875,38.78670929678007
17,SVC,I28,t88,t37,CLC,WC,U2,23.854166666666668,34.13150810256919
17,SVC,I28,t88,t37,WC,WC,C2,73.96523178807946,54.7776679459001
17,SVC,I28,t88,t37,C2_Consensus,C2_Consensus,C2,73.2408940397351,63.06782028630706
17,SVC,I28,t88,t139,WC,WC,U2,65.21875,46.715093156770415
17,SVC,I28,t88,t139,WC,CLC,U2,51.16666666666667,47.124904228233106
17,SVC,I28,t88,t139,CLC,CLC,U2,44.104166666666664,41.541169860597584
17,SVC,I28,t88,t139,CLC,WC,U2,23.96875,38.167994047554274
17,SVC,I28,t88,t139,WC,WC,C2,74.91721854304636,55.37755323830823
17,SVC,I28,t88,t139,C2_Consensus,C2_Consensus,C2,73.96523178807946,65.33357878705061
17,SVC,I28,t139,t15,WC,WC,U2,68.85416666666667,50.64667233200155
17,SVC,I28,t139,t15,WC,CLC,U2,48.635416666666664,46.250813201650956
17,SVC,I28,t139,t15,CLC,CLC,U2,44.29166666666667,40.61943520454703
17,SVC,I28,t139,t15,CLC,WC,U2,27.104166666666668,36.72206245941621
17,SVC,I28,t139,t15,WC,WC,C2,75.0,57.80292517190101
17,SVC,I28,t139,t15,C2_Consensus,C2_Consensus,C2,73.53062913907284,68.68249759742768
17,SVC,I28,t139,t37,WC,WC,U2,64.4375,41.010665781459785
17,SVC,I28,t139,t37,WC,CLC,U2,50.59375000000001,44.253172232377196
17,SVC,I28,t139,t37,CLC,CLC,U2,45.729166666666664,39.94732319891231
17,SVC,I28,t139,t37,CLC,WC,U2,27.125,33.62631993882129
17,SVC,I28,t139,t37,WC,WC,C2,74.68956953642383,50.32497020040469
17,SVC,I28,t139,t37,C2_Consensus,C2_Consensus,C2,75.22764900662253,59.71318174994516
17,SVC,I28,t139,t88,WC,WC,U2,65.94791666666666,45.88186688930186
17,SVC,I28,t139,t88,WC,CLC,U2,45.677083333333336,43.17600951623366
17,SVC,I28,t139,t88,CLC,CLC,U2,44.739583333333336,40.1696900047289
17,SVC,I28,t139,t88,CLC,WC,U2,27.833333333333332,35.36747653975805
17,SVC,I28,t139,t88,WC,WC,C2,70.3021523178808,51.68636994096537
