stratum,learner,representation,source_track,target_track,pixels,oa,ba
Full_U2_Support,RF,I28,t15,t37,9600,64.72916666666667,51.7422987936518
Consensus_C2_Subpopulation,RF,I28,t15,t37,4832,75.0,64.20215352597538
Non_Consensus_Disputed_Subpopulation,RF,I28,t15,t37,4768,54.320469798657726,41.0509187031426
Full_U2_Support,RF,I28,t15,t88,9600,65.23958333333333,53.72814993589896
Consensus_C2_Subpopulation,RF,I28,t15,t88,4832,71.37831125827815,63.645305521233084
Non_Consensus_Disputed_Subpopulation,RF,I28,t15,t88,4768,59.01845637583892,45.146352769422606
Full_U2_Support,RF,I28,t15,t139,9600,63.604166666666664,52.17015030436707
Consensus_C2_Subpopulation,RF,I28,t15,t139,4832,74.11009933774835,64.2816426794359
Non_Consensus_Disputed_Subpopulation,RF,I28,t15,t139,4768,52.957214765100666,41.79346378830443
Full_U2_Support,RF,I28,t37,t15,9600,64.69791666666667,57.422014889482895
Consensus_C2_Subpopulation,RF,I28,t37,t15,4832,71.50248344370861,69.64947656641941
Non_Consensus_Disputed_Subpopulation,RF,I28,t37,t15,4768,57.80201342281879,46.424286554470775
Full_U2_Support,RF,I28,t37,t88,9600,60.364583333333336,54.101475764203
Consensus_C2_Subpopulation,RF,I28,t37,t88,4832,64.96274834437085,64.44606510618149
Non_Consensus_Disputed_Subpopulation,RF,I28,t37,t88,4768,55.70469798657718,44.68378634580691
Full_U2_Support,RF,I28,t37,t139,9600,62.958333333333336,54.300347736616
Consensus_C2_Subpopulation,RF,I28,t37,t139,4832,73.11672185430463,65.39026384029214
Non_Consensus_Disputed_Subpopulation,RF,I28,t37,t139,4768,52.663590604026844,45.10338536982516
Full_U2_Support,RF,I28,t88,t15,9600,64.76041666666667,55.5726950581177
Consensus_C2_Subpopulation,RF,I28,t88,t15,4832,73.11672185430463,67.0088249143863
Non_Consensus_Disputed_Subpopulation,RF,I28,t88,t15,4768,56.291946308724825,45.73983300482262
Full_U2_Support,RF,I28,t88,t37,9600,61.416666666666664,50.00036397743577
Consensus_C2_Subpopulation,RF,I28,t88,t37,4832,71.19205298013244,62.880240141754975
Non_Consensus_Disputed_Subpopulation,RF,I28,t88,t37,4768,51.51006711409396,38.44162092130595
Full_U2_Support,RF,I28,t88,t139,9600,62.10416666666667,52.61500839158077
Consensus_C2_Subpopulation,RF,I28,t88,t139,4832,71.81291390728477,65.18408297439096
Non_Consensus_Disputed_Subpopulation,RF,I28,t88,t139,4768,52.26510067114094,41.813285678853546
Full_U2_Support,RF,I28,t139,t15,9600,62.583333333333336,54.77320906896173
Consensus_C2_Subpopulation,RF,I28,t139,t15,4832,68.62582781456953,64.80821121593895
Non_Consensus_Disputed_Subpopulation,RF,I28,t139,t15,4768,56.45973154362416,46.44450085044174
Full_U2_Support,RF,I28,t139,t37,9600,63.51041666666667,48.41642179382718
Consensus_C2_Subpopulation,RF,I28,t139,t37,4832,73.82036423841059,60.56068159918293
Non_Consensus_Disputed_Subpopulation,RF,I28,t139,t37,4768,53.062080536912745,38.25136605510346
Full_U2_Support,RF,I28,t139,t88,9600,61.354166666666664,49.73550475203257
Consensus_C2_Subpopulation,RF,I28,t139,t88,4832,65.48013245033113,57.59444335382417
Non_Consensus_Disputed_Subpopulation,RF,I28,t139,t88,4768,57.17281879194631,43.764626121713455
Full_U2_Support,RF,I28_G29,t15,t37,9600,64.97916666666667,55.99073361943032
Consensus_C2_Subpopulation,RF,I28_G29,t15,t37,4832,75.39321192052981,71.05548460108318
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t15,t37,4768,54.4253355704698,42.82397126047804
Full_U2_Support,RF,I28_G29,t15,t88,9600,67.6875,59.2632879561626
Consensus_C2_Subpopulation,RF,I28_G29,t15,t88,4832,73.71688741721854,71.40708851859124
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t15,t88,4768,61.57718120805369,48.66889871175252
Full_U2_Support,RF,I28_G29,t15,t139,9600,64.48958333333333,54.75457322341474
Consensus_C2_Subpopulation,RF,I28_G29,t15,t139,4832,75.43460264900662,69.4733292018071
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t15,t139,4768,53.39765100671141,42.007302669294305
Full_U2_Support,RF,I28_G29,t37,t15,9600,66.39583333333333,62.52355803572984
Consensus_C2_Subpopulation,RF,I28_G29,t37,t15,4832,73.59271523178808,75.97572330578555
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t37,t15,4768,59.10234899328859,50.77707898722681
Full_U2_Support,RF,I28_G29,t37,t88,9600,64.17708333333333,59.86884505221873
Consensus_C2_Subpopulation,RF,I28_G29,t37,t88,4832,69.68129139072848,73.19870267509909
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t37,t88,4768,58.598993288590606,47.9007287667576
Full_U2_Support,RF,I28_G29,t37,t139,9600,64.21875,58.274594849878284
Consensus_C2_Subpopulation,RF,I28_G29,t37,t139,4832,74.68956953642383,72.60649470792548
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t37,t139,4768,53.60738255033557,46.14388742965031
Full_U2_Support,RF,I28_G29,t88,t15,9600,65.86458333333334,59.00688055617266
Consensus_C2_Subpopulation,RF,I28_G29,t88,t15,4832,74.66887417218543,72.77690002091425
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t88,t15,4768,56.94211409395973,46.961631221155166
Full_U2_Support,RF,I28_G29,t88,t37,9600,62.239583333333336,55.087480186704184
Consensus_C2_Subpopulation,RF,I28_G29,t88,t37,4832,72.24751655629139,71.33912901781304
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t88,t37,4768,52.09731543624161,40.1694752035598
Full_U2_Support,RF,I28_G29,t88,t139,9600,62.74999999999999,55.45762416623323
Consensus_C2_Subpopulation,RF,I28_G29,t88,t139,4832,72.62003311258279,70.41345761272203
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t88,t139,4768,52.74748322147651,42.41862040244011
Full_U2_Support,RF,I28_G29,t139,t15,9600,64.26041666666666,58.17098993579102
Consensus_C2_Subpopulation,RF,I28_G29,t139,t15,4832,70.13658940397352,70.33935638006449
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t139,t15,4768,58.305369127516784,47.74335768527206
Full_U2_Support,RF,I28_G29,t139,t37,9600,64.22916666666667,53.84030592698047
Consensus_C2_Subpopulation,RF,I28_G29,t139,t37,4832,74.77235099337747,69.17088249143863
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t139,t37,4768,53.54446308724832,40.5538558025373
Full_U2_Support,RF,I28_G29,t139,t88,9600,64.13541666666667,55.421331362401205
Consensus_C2_Subpopulation,RF,I28_G29,t139,t88,4832,68.08774834437085,65.24660425752495
Non_Consensus_Disputed_Subpopulation,RF,I28_G29,t139,t88,4768,60.13003355704698,47.512873029276214
Full_U2_Support,SVC,I28,t15,t37,9600,65.16666666666666,49.971760504388975
Consensus_C2_Subpopulation,SVC,I28,t15,t37,4832,75.45529801324503,62.00557191485977
Non_Consensus_Disputed_Subpopulation,SVC,I28,t15,t37,4768,54.73993288590604,39.73646068245323
Full_U2_Support,SVC,I28,t15,t88,9600,65.9375,52.15568269190361
Consensus_C2_Subpopulation,SVC,I28,t15,t88,4832,71.81291390728477,61.090321963937676
Non_Consensus_Disputed_Subpopulation,SVC,I28,t15,t88,4768,59.98322147651006,44.739925100274014
Full_U2_Support,SVC,I28,t15,t139,9600,63.885416666666664,52.669387284810966
Consensus_C2_Subpopulation,SVC,I28,t15,t139,4832,75.04139072847681,66.8007811407375
Non_Consensus_Disputed_Subpopulation,SVC,I28,t15,t139,4768,52.57969798657718,40.252898318529105
Full_U2_Support,SVC,I28,t37,t15,9600,66.05208333333333,58.73793838425968
Consensus_C2_Subpopulation,SVC,I28,t37,t15,4832,74.27566225165563,72.6128653417555
Non_Consensus_Disputed_Subpopulation,SVC,I28,t37,t15,4768,57.71812080536913,46.51045853964101
Full_U2_Support,SVC,I28,t37,t88,9600,61.98958333333333,54.63771169198436
Consensus_C2_Subpopulation,SVC,I28,t37,t88,4832,67.88079470198676,66.3600395446083
Non_Consensus_Disputed_Subpopulation,SVC,I28,t37,t88,4768,56.019295302013425,44.048242568053624
Full_U2_Support,SVC,I28,t37,t139,9600,63.520833333333336,54.991736615499086
Consensus_C2_Subpopulation,SVC,I28,t37,t139,4832,74.31705298013244,67.35671353767707
Non_Consensus_Disputed_Subpopulation,SVC,I28,t37,t139,4768,52.57969798657718,44.47310563811588
Full_U2_Support,SVC,I28,t88,t15,9600,66.26041666666667,55.838396762659514
Consensus_C2_Subpopulation,SVC,I28,t88,t15,4832,75.04139072847681,68.34842302722829
Non_Consensus_Disputed_Subpopulation,SVC,I28,t88,t15,4768,57.361577181208055,45.248863740037415
Full_U2_Support,SVC,I28,t88,t37,9600,63.479166666666664,49.7968022748953
Consensus_C2_Subpopulation,SVC,I28,t88,t37,4832,73.2408940397351,63.06782028630706
Non_Consensus_Disputed_Subpopulation,SVC,I28,t88,t37,4768,53.586409395973156,37.74952929272256
Full_U2_Support,SVC,I28,t88,t139,9600,63.57291666666667,51.49230088682055
Consensus_C2_Subpopulation,SVC,I28,t88,t139,4832,73.96523178807946,65.33357878705061
Non_Consensus_Disputed_Subpopulation,SVC,I28,t88,t139,4768,53.04110738255034,39.28936240773927
Full_U2_Support,SVC,I28,t139,t15,9600,66.05208333333333,56.43194541285719
Consensus_C2_Subpopulation,SVC,I28,t139,t15,4832,73.53062913907284,68.68249759742768
Non_Consensus_Disputed_Subpopulation,SVC,I28,t139,t15,4768,58.4731543624161,45.88899124321853
Full_U2_Support,SVC,I28,t139,t37,9600,64.625,47.61044131124345
Consensus_C2_Subpopulation,SVC,I28,t139,t37,4832,75.22764900662253,59.71318174994516
Non_Consensus_Disputed_Subpopulation,SVC,I28,t139,t37,4768,53.88003355704698,37.62191431617919
Full_U2_Support,SVC,I28,t139,t88,9600,63.59375000000001,50.02758315472291
Consensus_C2_Subpopulation,SVC,I28,t139,t88,4832,67.81870860927152,58.37784347161114
Non_Consensus_Disputed_Subpopulation,SVC,I28,t139,t88,4768,59.312080536912745,43.43541070162769
Full_U2_Support,SVC,I28_G29,t15,t37,9600,66.11458333333333,55.444555101926674
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t37,4832,77.00745033112582,70.50100940114682
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t37,4768,55.075503355704704,42.38877019666924
Full_U2_Support,SVC,I28_G29,t15,t88,9600,68.25,58.73275754462737
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t88,4832,74.31705298013244,72.20058636878619
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t88,4768,62.1015100671141,46.62022538822018
Full_U2_Support,SVC,I28_G29,t15,t139,9600,64.61458333333333,55.53430750611247
Consensus_C2_Subpopulation,SVC,I28_G29,t15,t139,4832,75.7864238410596,71.6687688693347
Non_Consensus_Disputed_Subpopulation,SVC,I28_G29,t15,t139,4768,53.292785234899334,40.9812259100096
